Date,Time,I_DC,V_DC,LineSpeed,Power_Out,V_Out
04/09/2023,17:48:00,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:48:01,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:48:02,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:48:04,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:48:05,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:48:06,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:48:07,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:48:08,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:48:09,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:48:10,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:48:11,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:48:12,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:48:13,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:48:14,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:48:15,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:48:16,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:48:17,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:48:18,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:48:19,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:48:20,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:48:21,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:48:22,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:48:23,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:48:24,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:48:25,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:48:26,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:48:27,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:48:28,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:48:29,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:48:30,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:48:31,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:48:32,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:48:33,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:48:38,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:48:39,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:48:40,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:48:41,0.00,0.00,0.00,0.00,0.00
